Name,Display Name,Type,Class,Is Lot Numbered Item,Inactive,UPC Code,Weight,Item Weight (Kg),Length,Height,Width,Package Quantity,Master Carton Weight (lbs),Master Carton Length (in),Master Carton Width (in),Master Carton Height (in),Master GTIN #,Harmonized Product Code,Manufacturer Country
ES0035-02,"ANC - MILKFLOW CITRUS, DRINK MIX, 18 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0035-03,"ANC - MILKFLOW CHOCOLATE DRINK MIX, 18 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0035-04,"ANC - MILKFLOW CHAI TEA LATTE DRINK MIX, SINGLE PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0035-05,"ANC - MILKFLOW TARGET BERRY DRINK MIX, 18 PACKET, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,US
ES0035-06,"ANC - MILKFLOW TARGET CHOCOLATE DRINK MIX, 18 PK, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,US
ES0035-07,"ANC - MILKFLOW BERRY DRINK MIX, 24 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,US
ES0035-08,"ANC - MILKFLOW BERRY DRINK MIX, SINGLE PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0035-09,"ANC- MILKFLOW CHOCOLATE DRINK MIX, SINGLE PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0037-01,"ANC - MILKFLOW, DRINK MIX, CHAI TEA, 24 SERVINGS",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,US
ES0037-02,"ANC - MILKFLOW, DRINK MIX, SUGAR FREE BERRY 8OZ, 24 SERVINGS",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0037-03,"ANC - MILKFLOW DRINK MIX SUGAR FREE BERRY 16 OZ, 24 SERVINGS",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0039-01,"ANC - MILKFLOW BERRY + ELECTROLYTES, 16 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,No,,,,,,,,,,,,,,
ES0039-02,"ANC - MILKFLOW CHOC + ELECTROLYTES, 16 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,No,,,,,,,,,,,,,,
ES0039-03,"ANC - MILKFLOW BERRY + ELECTROLYTES, SINGLE PACKET, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,No,,,,,,,,,,,,,,
ES0039-04,"ANC - MILKFLOW CHOCOLATE + ELECTROLYTES, SINGLE PACKET, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0039-05,"ANC - MILKFLOW, FENUGREEK DRINK MIX, ORANGE MANGO, 16 PACKET, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,No,,,,,,,,,,,,,,
ES0039-06,"ANC - MILKFLOW, FENUGREEK DRINK MIX, CHOCOLATE + ENERGY, 16 PACKET, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,No,,,,,,,,,,,,,,
ES0039-07,"ANC - MILKFLOW BERRY + ELECTROLYTES, 10 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0039-08,"ANC - MILKFLOW CHOC + ELECTROLYTES, 10 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0039-09,"ANC - MILKFLOW ORANGE MANGO + ELECTROLYTES, 10 PACKET",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0040-01,"VRC - MILKFLOW / MILKMULTI - SHRINK-WRAP, 2-PACK",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,
ES0045-01,ARKRAY - 550085 UpSpring Laminated Reels,Inventory Item,Legacy UpSpring : (Old) Alcohol,No,No,,,,,,,,,,,,,,US
ES0045-02,ARKRAY - AO100 Alcohol Oxidase ( UpSpring Consignment),Inventory Item,Legacy UpSpring : (Old) Alcohol,No,No,,,,,,,,,,,,,,
ES0045-02 - DO NOT USE,ARKRAY - AO100 Alcohol Oxidase ( UpSpring Consignment),Inventory Item,Legacy UpSpring : (Old) Alcohol,No,Yes,,,,,,,,,,,,,,
ES0050-01,CCI - MSA TEST STRIP CONVERSION,Inventory Item,Legacy UpSpring : (Old) Alcohol,No,No,,,,,,,,,,,,,,
ES0055-01,"VRC - MSA, 5-PACK",Inventory Item,Legacy UpSpring : (Old) Alcohol,No,Yes,,,,,,,,,,,,,,
ES0055-02,"VRC - MSA, 8-PACK",Inventory Item,Legacy UpSpring : (Old) Alcohol,No,Yes,,,,,,,,,,,,,,
ES0055-03,"VRC - MSA, 20-PACK",Inventory Item,Legacy UpSpring : (Old) Alcohol,No,Yes,,,,,,,,,,,,,,
ES0060-01,"ACTION_SPORTS - BREAST PILLOW, SMALL & MEDIUM",Inventory Item,Legacy UpSpring : (Old) Breast Pillow,No,Yes,,,,,,,,,,,,,,
ES0060-02,"ACTION_SPORTS - BREAST PILLOW, LARGE & XLARGE",Inventory Item,Legacy UpSpring : (Old) Breast Pillow,No,Yes,,,,,,,,,,,,,,
ES0065-01,"HERBALAND - UPSPRING, D3 GUMMY, 90 COUNT",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,
ES0065-02,"HERBALAND - UPSPRINGKID, D3 GUMMY, 90 COUNT",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,
ES0070-01,"HERBALAND - OMEGA3 & DHA GUMMY, 60 COUNT",Inventory Item,,No,Yes,,,,,,,,,,,,,,
ES0075-01,"HERBALAND - MILKFLOW GUMMY, 90 COUNT",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,
ES0080-01,"BLUE CALIFORNIA - Micro-Encapsulated, Fenugreek 10:1, 12.5%",Inventory Item,,Yes,No,,,,,,,,,,,,,,
ES0085-01,"ANP - MILKFLOW MAX, 30 CAPSULES, PRODUCTION & PACKAGING",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Milkflow - Other,No,Yes,,,,,,,,,,,,,,US
ES0090-01,"ANP - MORNING SICKLESS, 10 CAPSULE / 10 HARD DROP",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Adult Supplements - Other,No,Yes,,,,,,,,,,,,,,US
ES0095-01,"S&V - COCONUT OIL, 5OZ, 100% ORGANIC, VIRGIN, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Skincare_Other,No,Yes,,,,,,,,,,,,,,
ES0100-01,"HERBALAND - UPSPRING, PRENATAL GUMMY, 90 COUNT",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,CA
ES0100-02,"HERBALAND - PRENATAL GUMMY, SINGLE, BULK, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,CA
ES0105-01,"BAI_HOA - CLASSIC WAIST W/SILICONE, S (14”), NUDE, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0105-02,"BAI_HOA - CLASSIC WAIST W/SILICONE, M (15”), NUDE, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0105-03,"BAI_HOA - CLASSIC WAIST W/SILICONE, L (16”),  NUDE, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0105-04,"BAI_HOA - CLASSIC WAIST W/SILICONE, S (14”), BLACK, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0105-05,"BAI_HOA - CLASSIC WAIST W/SILICONE, M (15”), BLACK, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0105-06,"BAI_HOA - CLASSIC WAIST W/SILICONE, L (16”),  BLACK, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0110-01,"BAI_HOA - HIGH WAIST W/SILICONE, S/M (15”), NUDE, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0110-02,"BAI_HOA - HIGH WAIST W/SILICONE, L/XL (17”), NUDE, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0110-03,"BAI_HOA - HIGH WAIST W/SILICONE, 1X2X (19”), NUDE, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0110-04,"BAI_HOA - HIGH WAIST W/SILICONE, S/M (15”), BLACK, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0110-05,"BAI_HOA - HIGH WAIST W/SILICONE, L/XL (17”), BLACK, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0110-06,"BAI_HOA - HIGH WAIST W/SILICONE, 1X2X (19”), BLACK, RAW",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0115-01,"BAI_HOA - CP, HW W/SILICONE, S/M (15”), NUDE, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0115-02,"BAI_HOA - CP, HW W/SILICONE, L/XL (17”), NUDE, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0115-03,"BAI_HOA - CP, HW W/SILICONE, 1X2X (19”), NUDE, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0115-04,"BAI_HOA - CP, HW W/SILICONE, S/M (15”), BLACK, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0115-05,"BAI_HOA - CP, HW W/SILICONE, L/XL (17”), BLACK, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0115-06,"BAI_HOA - CP, HW W/SILICONE, 1X2X (19”), BLACK, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0120-01,"BAI_HOA - PB, HW WO/SILICONE, S/M (15”), NUDE, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0120-02,"BAI_HOA - PB, HW WO/SILICONE, L/XL (17”), NUDE, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0120-03,"BAI_HOA - PB, HW WO/SILICONE, 1X2X (19”), NUDE, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0120-04,"BAI_HOA - PB, HW WO/SILICONE, S/M (15”), BLACK, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0120-05,"BAI_HOA - PB, HW WO/SILICONE, L/XL (17”), BLACK, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0120-06,"BAI_HOA - PB, HW WO/SILICONE, 1X2X (19”), BLACK, PACKAGED",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,Yes,,,,,,,,,,,,,,CN
ES0125-01,"CATALENT - STOMACH SETTLE, HERBAL BLEND, LEMON GINGER HARD DROP",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0125-02,"CATALENT - STOMACH SETTLE, PACKAGING LABOR, ALL FLAVORS, 10, 28 AND 55 CT",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,No,No,,,,,,,,,,,,,,
ES0125-03,"CATALENT - STOMACH SETTLE, MINT HARD DROP, HERBAL BLEND",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,No,,,,,,,,,,,,,,US
ES0125-04,"CATALENT - STOMACH SETTLE, LG 28 CT, 6 UP CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,No,Yes,,,,,,,,,,,,,,US
ES0125-05,"CATALENT - STOMACH SETTLE, LG 28 CT, 3 UP CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,No,Yes,,,,,,,,,,,,,,US
ES0125-06,"CATALENT - STOMACH SETTLE, MINT 28 CT, 6 UP CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,No,Yes,,,,,,,,,,,,,,US
ES0125-07,"CATALENT- STOMACH SETTLE, LG 10 CT, 8 UP CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Stomach Settle,No,Yes,,,,,,,,,,,,,,US
ES0130-01,"KD PHARMA - PRENATAL, SOFT GEL CAPSULE, 30 CNT, 60CC BOTTLE",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0135-01,"ANC - PROBIOTIC+COLOSTRUM, 30 STICKS, PRODUCTION & PACKAGING",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,US
ES0135-02,"ANC - PROBIOTIC+COLOSTRUM, 1 STICK, PRODUCTION & PACKAGING",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,US
ES0140-01,"HILLSIDE/ANP-SICKLESS/STOMACH SETTLE, HARD DROP, PACKING",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Adult Supplements - Other,No,Yes,,,,,,,,,,,,,,
ES0145-01,"ANP - MILKFLOW SHOOTER, 9 BOTTLES / CADDY, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,US
ES0150-01,"XELAPACK - COCONUT OIL, 5ML STANDARD COUPON, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Skincare_Other,No,Yes,,,,,,,,,,,,,,US
ES0155-01,"AQUEOUS LABS - UPSPRING D3, SAMPLE, 1ML, 400IU / DROP",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,US
ES0160-01,"PHARMA BASE - PROBIOTIC DROPS, 2-10ML BOTTLES+LEAFLET+CARTON",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,CH
ES0165-01,"MARINE - PRENATAL, SOFT GEL-CAP, 30 COUNT, 60CC HDPE BOTTLE",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0165-02,"UNITED PHARMA- PRENATAL, SOFTGEL, SINGLE, BULK, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0170-01,"PARAGON - PRENATAL, TABLET, 30 CNT, 100CC BOTTLE, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0175-01,"ANC - FERTILITY, CAPSULES, 30 CNT, 60CC BOTTLE, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Adult Supplements - Other,No,Yes,,,,,,,,,,,,,,US
ES0180-01,"AFP - PRENATAL, GUMMY/CAPSULE, 3/1 CNT, BUMP-BAG, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0185-01,"AFP - SICKLESS, HARD DROP, 2 COUNT, BUMP-BAG, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0190-01,"RICH JOY - BAMBOO, HW PANTY, CO, S/M 25""-30"" X 8"" TALL, GRAY",Inventory Item,Legacy UpSpring : (Old) Charcoal Fusion,No,Yes,,,,,,,,,,,,,,TW
ES0190-02,"RICH JOY - BAMBOO, HW PANTY, CO, L/XL 31""-36"" X 8"" TALL,GRAY",Inventory Item,Legacy UpSpring : (Old) Charcoal Fusion,No,Yes,,,,,,,,,,,,,,TW
ES0195-01,"RICH JOY - BAMBOO, HW BOYSHORT, CO, S/M 25""-30"" X 8"" TALL",Inventory Item,Legacy UpSpring : (Old) Charcoal Fusion,No,Yes,,,,,,,,,,,,,,TW
ES0195-02,"RICH JOY - BAMBOO, HW BOYSHORT, CO, L/XL 31""-36"" X 8"" TALL",Inventory Item,Legacy UpSpring : (Old) Charcoal Fusion,No,Yes,,,,,,,,,,,,,,TW
ES0200-01,"RICH JOY -BAMBOO, NURSING TANK,S/M BUST 32""-36""WAIST 26""-32""",Inventory Item,Legacy UpSpring : (Old) Charcoal Fusion,No,Yes,,,,,,,,,,,,,,TW
ES0200-02,"RICH JOY -BAMBOO, NURSING TANK,L/XL,BUST36""-40""WAIST 30""-36""",Inventory Item,Legacy UpSpring : (Old) Charcoal Fusion,No,Yes,,,,,,,,,,,,,,TW
ES0205-01,"RICH JOY - SHRINKX BELLY, BAMBOO CHARCOAL, S/M 25""-44""",Inventory Item,Legacy UpSpring : (Old) Shrinkx Belly,No,Yes,,,,,,,,,,,,,,TW
ES0205-02,"RICH JOY - SHRINKX BELLY, BAMBOO CHARCOAL, L/XL 45""-52""",Inventory Item,Legacy UpSpring : (Old) Shrinkx Belly,No,Yes,,,,,,,,,,,,,,TW
ES0205-03,"AOFEITE - SHRINKX BELLY, BAMBOO CHARCOAL, S/M 25""-44""",Inventory Item,Legacy UpSpring : (Old) Shrinkx Belly,No,No,,,,,,,,,,,,,,CN
ES0205-04,"AOFEITE - SHRINKX BELLY, BAMBOO CHARCOAL, L/XL 45""-52""",Inventory Item,Legacy UpSpring : (Old) Shrinkx Belly,No,No,,,,,,,,,,,,,,CN
ES0210-01,"AOFEITE- BUMPTUBE, MATERNITY BAND, S/M, BLACK, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Skincare_Other,No,Yes,,,,,,,,,,,,,,CN
ES0210-02,"AOFEITE- BUMPTUBE, MATERNITY BAND, L/XL, BLACK, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Skincare_Other,No,Yes,,,,,,,,,,,,,,CN
ES0220-01,"ABS - UPSPRING D3, VITAMIN DROPS, 15ML, 400IU",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,US
ES0220-02,"ABS - UPSPRING D3, MCT-365 SERVINGS, VITAMIN DROPS, 15ML",Inventory Item,Legacy UpSpring : (Old) Child Supplements,No,Yes,,,,,,,,,,,,,,US
ES0225-01,"UNITED PHARMA - PRENATAL, SOFT GEL, 30 CNT, 60CC WHITE HDPE",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0230-01,"ANP - PRENATAL GUMMY, 90 COUNT, 300CC WHITE HDPE BOTTLE",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0235-01,"MELODY - MF BAKED COOKIE, 1-SERVING, DOUBLE CHOCOLATE",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,US
ES0235-02,"MELODY - MF BAKED COOKIE, 1-SERVING, OATMEAL RAISIN",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,US
ES0235-03,"MELODY - MF BAKED COOKIE, 1-SERVING, OATMEAL SALTED CARAMEL",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,US
ES0240-01,"HONEYVILLE - MF COOKIE DRY-MIX, 12-SRV'S, DOUBLE CHOCOLATE",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,US
ES0240-02,"HONEYVILLE - MF COOKIE DRY-MIX, 12-SERVINGS, OATMEAL RAISIN",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,US
ES0245-01,"VIRUN - OMEGA-3 SMOOTHIE, PEACH MANGO, 1500MG, 160Z, BULK",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0245-02,"VIRUN - OMEGA-3 SMOOTHIE, KEY LIME, 1500MG, 160Z, BULK",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0250-01,"ANC - PUREPLAY, BLESSED THISTLE, CAPSULES, 100 COUNT, 150CC BOTTLE",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,US
ES0250-04,"ANC - PUREPLAY, GOAT'S RUE, CAPSULES, 60 COUNT, 100CC BOTTLE",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,US
ES0255-01,"PRIVATE LABEL COFFEE - MILKFLOW COFFEE PODS, 1-SERVING, BULK",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,US
ES0260-01,"ADH - HENATAL- TABLETS, 90 COUNT, 200CC BOTTLE, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0265-01,"VRC - STOMACH SETTLE - SAMPLE POUCH, 1 DROP PACK, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Adult Supplements : (Old) Adult Supplements - Other,No,Yes,,,,,,,,,,,,,,
ES0270-01,"ANC - MILKFLOW COFFEE STICKPACK, 14-SERVING, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow,No,Yes,,,,,,,,,,,,,,
ES0275-01,"ALBANESE - PRENATAL COMPLETE GUMMY, 120 COUNT, 625CC BOTTLE, PRODUCTION",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0280-01,"UNITED PHARMA - PRENATAL, SOFT GEL, 90 CNT, 225CC WHITE HDPE",Inventory Item,Legacy UpSpring : (Old) Adult Supplements,No,Yes,,,,,,,,,,,,,,US
ES0285-01,"ANC - MILKFLOW, NON-FENUGREEK DRINK MIX, BLACKBERRY LIME, 16 PACKET, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,Yes,,,,,,,,,,,,,,US
ES0285-02,"ANC - MILKFLOW, NON-FENUGREEK DRINK MIX, BLUEBERRY ACAI, 16 PACKET, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,No,,,,,,,,,,,,,,US
ES0285-03,"ANC - MILKFLOW, NON-FENUGREEK DRINK MIX, ELDERBERRY LEMONADE, 16 PACKET, PRODUCTION & PACKAGING, CONSIGNMENT BUILD",Inventory Item,Legacy UpSpring : (Old) Milkflow : (Old) Drink Mix,No,No,,,,,,,,,,,,,,US
ES0290-01,"SELECTRA - CP, HIGH WAIST W/SILICONE, NUDE - XXS/XS",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,No,,,,,,,,,,,,,,CN
ES0290-02,"SELECTRA - CP, HIGH WAIST W/SILICONE, NUDE - S/M",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,No,,,,,,,,,,,,,,CN
ES0290-03,"SELECTRA - CP, HIGH WAIST W/SILICONE, NUDE - L/XL",Inventory Item,Legacy UpSpring : (Old) C-Panty,No,No,,,,,,,,,,,,,,CN
